SrNo,CensusCode,Load,VillageName
1,548285,727,Adgaon (Pishor)
2,548343,483,Adgaon Jehur
3,548408,733,Alapur
4,548314,1721,Amba
5,548434,0,Amba Tanda (N.V.)
6,548311,17,Ambala
7,548267,324,Ambegaon Bk.
8,548266,226,Ambegaon Kh.
9,548288,978,Amdabad
10,548332,3690,Andhaner
11,548409,258,Antapur
12,548378,896,Athegaon
13,548372,1936,Aurala
14,548397,390,Aurali
15,548410,114,Aurangpur
16,548342,0,Bahirgaon
17,548270,291,Balkheda
18,548358,2304,Banshendra
19,548274,1019,Barkatpur
20,548233,291,Belkheda
21,548231,190,Belkheda Tanda
22,548316,629,Bhambarwadi
23,548394,0,Bharamba (bharanbawadi)
24,548393,1011,Bharamba Tanda
25,548260,350,Bhildari (nagad)
26,548302,982,Bhildari (pishor)
27,548382,1034,Bhokangaon
28,548234,599,Bhopewadi
29,548365,344,Bibkheda
30,548354,171,Boltek
31,548236,865,Bormal Tanda
32,548402,846,Borsar Bk.
33,548415,664,Borsar Kh.
34,548319,1827,Bramhani Garada
35,548427,2120,Chambharwadi
36,548361,2637,Chapaner
37,548383,3049,Chikhalthan
38,548255,859,Chimnapur
39,548366,824,Chinchkheda Bk.
40,548439,0,Chinchkheda bu. Tanda (N. V.)
41,548362,1307,Chinchkheda Kh.
42,548273,2784,Chincholi (L)
43,548345,480,Chivali
44,548341,1156,Dabhadi
45,548286,849,Dahigaon
46,548417,1139,Debhegaon
47,548423,4236,Deogaon (R)
48,548419,1575,Deolana
49,548424,0,Deoli
50,548429,602,Deopudi
51,548323,661,Deopul
52,548268,513,Dhamani Kh
53,548373,234,Dhangarwadi
54,548422,178,Dharankheda
55,548283,1506,Digaon
56,548294,3366,Digar
57,548339,1297,Dongaon
58,548396,677,Dongargaon
59,548241,19,Dudhmal
60,548279,1259,Ganeshpur (Ganeshpurwadi)
61,548435,0,Garada Tanda (N.V.)
62,548303,375,Gaurpimpri
63,548318,465,Gautala
64,548363,740,Gavhali
65,548243,1977,Ghatshendra
66,548380,740,Ghusur
67,548433,0,Ghusur Tanda (N.V.)
68,548414,99,Gondegaon
69,548353,613,Gudma
70,548257,677,Haraswadi
71,548259,228,Hasanabad
72,548376,552,Hasankheda
73,548325,1388,Hasta
74,548379,4963,Hatnoor
75,548436,0,Hiverkheda Tanda (N.V.)
76,548329,537,Hiwarkheda (Gautala)
77,548387,2738,Hiwarkheda (kh)
78,548404,1944,Jaitapur
79,548389,1173,Jaitkheda
80,548390,0,Jaitkheda Tanda
81,548405,1270,Jalgaonghat
82,548351,356,Jamdi (f)
83,548352,377,Jamdi (Ghat)
84,548280,1949,Jamdi (ja)
85,548384,594,Jamdi Kh.
86,548305,1040,Jawakheda Bk.
87,548290,694,Jawakheda Kh.
88,548375,227,Jawali Bk.
89,548377,585,Jawali Kh.
90,548347,1614,Jehur
91,548438,0,Jehur Tanda (N.V.)
92,548418,244,Kadarpur
93,548310,1440,Kalanki
94,548371,678,Kanadgaon (kannad)
95,548425,339,Kanadgaon Werul
96,548269,1461,Karanjkheda Jahagir
97,548252,3147,Karanjkheda Khalsa
98,548374,396,Kavitkheda
99,548412,706,Kesapur
100,548292,1142,Khadki
101,548370,559,Khamgaon
102,548399,0,Khaparkheda
103,548277,1094,Khatkheda
104,548360,703,Kheda
105,548284,313,Khedi
106,548256,90,Kholapur
107,548299,711,Kolambi (majra)
108,548271,276,Kolambi Makta
109,548350,1812,Kolwadi
110,548239,156,Kondbari
111,548307,364,Koparwel
112,548385,875,Kunjkheda
113,548421,411,Lamangaon
114,548330,338,Langada Tanda
115,548413,350,Lavhali
116,548245,1624,Lohagaon
117,548238,503,Lonza
118,548337,426,Makranpur
119,548278,51,Malegaon (d)
120,548392,0,Malegaon (Lokhandi)
