SrNo,Description,Latitude,Longitude
1,132kV SOYGAON ,20.59702,75.605585
2,132kV SILLOD ,20.3155,75.6553
3,132kV PISHOR ,20.301941,75.354222
4,132kV KANNAD ,20.25,75.1303
5,220kV  BHOKARDAN,20.245449,75.781043
6,132kV JAFRABAD ,20.2054,76.0088
7,220kV  PHULAMBRI,20.1181,75.4704
8,220kV  DEOGAON RANGARI,20.0527,75.0801
9,132kV RAJUR ,20.047448,75.859592
10,132kV KAGZIPURA ,19.978312,75.21427
11,220kV SAWANGI ,19.952178,75.340114
12,132kV VAIJAPUR ,19.9223,74.7121
13,132kV HARSOOL ,19.9125,75.3495
14,132kV CHIKALTHANA ,19.88408,75.37189
15,220kV SHENDRA ,19.8679,75.4766
16,132kV JALNA OLD ,19.867379,75.904616
17,132kV BADNAPUR ,19.8653,75.7473
18,220kV JALNA ,19.8584,75.8442
19,132kV JALNA MIDC ,19.8515,75.8609
20,400kV WALUJ ,19.8508,75.2001
21,132kV WALUJ ,19.8383,75.2421
22,132kV SATARA,19.8254,75.32941
23,132kV HINGOLI ,19.7334,77.153
24,220kV CHITEGAON ,19.725822,75.282521
25,132kV GANGAPUR ,19.7131,75.008
26,220kV HINGOLI ,19.6924,77.1032
27,132kV MANTHA ,19.665406,76.390986
28,132kV AMBAD ,19.61638,75.79851
29,132kV JINTOOR ,19.613,76.68
30,220kV PARTUR MIDC ,19.60939,76.243661
31,132kV KINWAT ,19.6065,78.2063
32,132kV PARTUR ,19.595157,76.212681
33,132kV AKHADA BALAPUR ,19.53834,77.414353
34,132kV PAITHAN ,19.53487,75.38066
35,132kV GHANSAWANGI ,19.51631,75.98954
36,132kV HIMAYATNAGAR ,19.4239,77.8894
37,132kV KURUNDA ,19.40801,77.216089
38,132kV MAHAKALA ,19.3986,75.7051
39,132kV TAMSA ,19.3789,77.605
40,132kV VASMAT ,19.32282,77.14126
41,132kV PARBHANI ,19.27967,76.76052
42,132kV PATHRI ,19.27837,76.43248
43,132kV ARDHAPUR ,19.2775,77.3742
44,220kV PARBHANI ,19.2674,76.8069
45,132kV GEORAI ,19.2585,75.7577
46,220kV  BHOKAR,19.1994,77.6623
47,132kV JANGAMWADI ,19.181,77.3013
48,132kV PURNA ,19.1754,77.04301
49,132kV MAJALGAON ,19.1691,76.1961
50,132kV AHMEDNAGAR MIDC ,19.151142,74.698825
51,132kV ELICHPUR ,19.1371,77.3556
52,220kV WAGHALA,19.0969,77.3214
53,132kV UMRI ,19.047924,77.653682
54,132kV RAIMOHA ,18.9942,75.5188
55,132kV BEED ,18.9913,75.7742
56,132kV TELGAON ,18.9887,76.1789
57,220kV BEED ,18.9867,75.7843
58,132kV  SONPETH,18.9697,76.4935
59,132kV GANGAKHED ,18.9494,76.7362
60,132kV PANGRI ,18.8765,76.4694
61,132kV KANDHAR ,18.8758,77.1781
62,132kV PARLI ,18.8713,76.5263
63,220kV  MANJARSUMBHA,18.8256,75.7473
64,132kV KUNDALWADI ,18.8184,77.7769
65,220kV PATODA,18.806975,75.497821
66,132kV ASHTI ,18.8064,75.1653
67,132kV NARSI ,18.7588,77.5654
68,220kV GIRWALI ,18.7489,76.4561
69,132kV MUKHED ,18.7215,77.391
70,132kV KAIJ ,18.7169,76.0776
71,132kV AHEMADPUR ,18.7027,76.9238
72,132kV DEGLOOR ,18.6075,77.5702
73,132kV KALLAMB ,18.5681,76.0138
74,132kV CHAKUR ,18.5233,76.8801
75,132kV RENAPUR ,18.5006,76.582
76,132kV BHOOM ,18.4637,75.6692
77,132kV MIDC LATUR ,18.4217,76.5401
78,220kV MURUD ,18.4012,76.2279
79,132kV KOYANA LATUR ,18.3921,76.5901
80,220kV HARANGUL ,18.3875,76.5004
81,132/33 KV  NIWALI,18.3755,76.3101
82,132kV UDGIR ,18.3616,77.1311
83,220kV PARANDA SUB STATION,18.286981,75.454859
84,132kV AUSA ,18.257515,76.514024
85,220kV OSMANABAD ,18.187,76.0536
86,132kV NILANGA ,18.1224,76.7672
87,132kV KILLARI ,18.057,76.5869
88,220kV TULJAPUR ,17.953963,76.02696
89,132kV OMERGA ,17.8353,76.6402
90,132kV NALDURG ,17.8189,76.2621
